0;69;19;5
1;33;19;5
2;28;19;5
3;69;19;4
4;34;18;5
5;37;9;5
6;39;15;4
7;44;8;5
8;37;16;5
9;36;19;4
10;41;19;5
11;30;18;5
12;38;19;4
13;37;17;5
14;32;7;5
15;39;19;5
16;74;19;4
17;28;6;5
18;53;18;5
19;75;19;4
20;19;19;5
21;48;19;5
22;66;4;4
23;27;20;5
24;22;19;0
25;38;18;0
26;37;16;0
27;21;9;3
28;38;18;4
29;22;19;5
30;37;12;5
31;19;12;4
32;38;19;2
33;38;19;0
34;21;18;4
35;33;19;4
36;26;10;5
37;37;14;5
38;38;19;4
39;21;5;5
40;22;19;5
41;37;19;4
42;38;19;5
43;37;18;5
44;17;19;5
45;27;19;4
46;37;5;5
47;38;8;5
48;23;16;4
49;41;19;5
50;75;19;5
51;40;18;4
52;41;19;5
53;58;19;5
54;35;19;4
55;52;5;5
56;42;13;5
57;39;11;0
58;74;19;0
59;18;18;0
