-48.3342 11.9993 -1
-48.3342 11.9993 1


-97.5504 50.5549 1
-48.3342 11.9993 1


-97.5504 50.5549 1
-130.646 18.2925 1


-78.2254 -1.53311 1
-48.3342 11.9993 1


-130.646 18.2925 -1
-130.646 18.2925 1


-128.161 3.85732 1
-78.2254 -1.53311 1


-128.161 3.85732 1
-130.646 18.2925 1


-97.5504 50.5549 -1
-97.5504 50.5549 1


-97.5504 50.5549 -1
-48.3342 11.9993 -1


-97.5504 50.5549 -1
-130.646 18.2925 -1


-128.161 3.85732 -1
-128.161 3.85732 1


-128.161 3.85732 -1
-130.646 18.2925 -1


-78.2254 -1.53311 -1
-48.3342 11.9993 -1


-78.2254 -1.53311 -1
-78.2254 -1.53311 1


-78.2254 -1.53311 -1
-128.161 3.85732 -1


-47.0311 72.9734 -1
-47.0311 72.9734 1


-47.0311 72.9734 -1
-22.3816 28.6077 -1


-22.3816 28.6077 1
-47.0311 72.9734 1


-22.3816 28.6077 1
-22.3816 28.6077 -1


-98.0392 53.4694 -1
-47.0311 72.9734 -1


-98.0392 53.4694 -1
-97.5504 50.5549 -1


-38.2647 9.68975 1
-22.3816 28.6077 1


-38.2647 9.68975 1
-48.3342 11.9993 1


-48.3342 11.9993 -1
-48.3342 11.9993 1


-48.3342 11.9993 -1
-97.5504 50.5549 -1


-38.2647 9.68975 -1
-22.3816 28.6077 -1


-38.2647 9.68975 -1
-38.2647 9.68975 1


-38.2647 9.68975 -1
-48.3342 11.9993 -1


-97.5504 50.5549 1
-97.5504 50.5549 -1


-97.5504 50.5549 1
-48.3342 11.9993 1


-98.0392 53.4694 1
-47.0311 72.9734 1


-98.0392 53.4694 1
-98.0392 53.4694 -1


-98.0392 53.4694 1
-97.5504 50.5549 1


35.9131 -78.9324 1
-19.6496 -45.3459 1


17.8024 43.1401 -1
12.2138 48.1231 -1


-28.1745 -33.4618 1
-19.6496 -45.3459 1


49.3757 -74.5658 -1
17.8024 43.1401 -1


-22.3816 28.6077 -1
12.2138 48.1231 -1


17.8024 43.1401 1
17.8024 43.1401 -1


-38.2647 9.68975 -1
-22.3816 28.6077 -1


-38.2647 9.68975 1
-38.2647 9.68975 -1


-38.2647 9.68975 1
-28.1745 -33.4618 1


-22.3816 28.6077 1
-22.3816 28.6077 -1


-22.3816 28.6077 1
-38.2647 9.68975 1


12.2138 48.1231 1
17.8024 43.1401 1


12.2138 48.1231 1
12.2138 48.1231 -1


12.2138 48.1231 1
-22.3816 28.6077 1


-28.1745 -33.4618 -1
-28.1745 -33.4618 1


-28.1745 -33.4618 -1
-38.2647 9.68975 -1


-19.6496 -45.3459 -1
-19.6496 -45.3459 1


-19.6496 -45.3459 -1
