0;69;58;71
1;33;32;17
2;28;12;0
3;69;11;20
4;34;19;3
5;37;48;0
6;39;41;38
7;44;4;70
8;37;38;0
9;36;5;0
10;41;29;30
11;30;54;17
12;38;0;0
13;37;32;19
14;32;37;64
15;39;4;0
16;74;49;0
17;28;9;32
18;53;25;38
19;75;37;3
20;19;35;0
21;48;0;46
22;66;33;12
23;27;7;0
24;22;47;23
25;38;54;37
26;37;15;37
27;21;8;0
28;38;16;0
29;22;73;33
30;37;41;0
31;19;9;0
32;38;8;69
33;38;40;54
34;21;73;0
35;33;1;0
36;26;30;8
37;37;12;0
38;38;18;23
39;21;37;56
40;22;33;51
41;37;0;0
42;38;34;3
43;37;34;14
44;17;0;0
45;27;34;20
46;37;29;73
47;38;0;21
48;23;38;0
49;41;37;17
50;75;17;25
51;40;13;0
52;41;25;3
53;58;5;38
54;35;38;37
55;52;37;10
56;42;38;0
57;39;0;17
58;74;13;38
59;18;8;12
